Date,Shrub,Subspecies,Ploidy,Sub.Cyto,Population,E,A,R,A.R,gsw,PhiPS2,Fv.Fm,WUE,WUEi,RWC,SLA,Kbm,Kbms,Kbml,Ypd,Ymd,Max.Height,LA.SA,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,sprp,smrp,winp,Distance
7.1.19,8,T,2,T2,UTT3,5.032427743,12.17783472,,,0.15093686,0.211573481,0.696,2.419872743,80.6816485,0.684080828,37.6124498,25.02923143,34.15859386,0.073344918,-0.97,-2,145,4.657254329,-112.2642,37.0402,1618,11.6,291,137,0.1,-7.2,24.1,33.6,129,285,156,2892,2329,89,155,948,2.11,1.97,35,69,107,781.1353
7.1.19,23,T,4,T4,NM'T2,1.431068941,4.026428036,,,0.040123381,0.205028706,0.741,2.813580758,100.3511649,0.581563488,75.56,22.96069848,23.33052299,0.023184318,-1.43,-2.6,122,10.063062,-107.1478,35.7572,1979,9.9,265,170,-2.3,-9.8,22.2,31.2,140,277,136,2516,1943,98,290,1270,2.86,3.32,28,93,54,1142.3759
7.1.19,25,T,2,T2,UTT1,0.130401499,,,,0.002916958,0.138807471,0.767,,,0.607091172,106.7192982,49.13857584,102.4106592,0.077752244,-1.62,-2.45,123,13.17140885,-112.5087,37.9933,2106,7,351,189,-3.9,-11.7,19.4,29.1,162,258,96,1804,1197,123,493,1801,1.55,1.46,57,83,100,1971.199
7.1.19,33,T,2,T2,UTT2,2.177785233,4.040580768,,,0.05475696,0.201184151,0.78,1.855362369,73.7911816,0.597130243,99.208,23.61429322,346.289232,0.044048171,-1.75,-2.95,140,78.61602896,-109.3876,38.306,1820,9.8,305,163,-4.8,-10.5,24.4,33,128,282,154,2671,2280,107,441,1196,1.63,1.52,46,70,80,975.7172
7.1.19,37,T,2,T2,MTT1,1.489356702,4.464542474,,,0.037499945,0.187596194,0.773,2.99763144,119.0546422,0.707720588,124.8586387,66.52786162,127.0592969,0.097430232,-1.35,-2.35,98,13.04105454,-108.8256,45.2056,1240,7.3,313,221,-6.4,-13,21,30.3,141,262,122,2059,1575,116,644,1710,0.57,0.48,95,46,50,1277.2784
7.1.19,42,T,2,T2,ORT2,3.45304973,7.156337699,,,0.084596382,0.213124451,,2.072468762,84.5938981,0.673536989,118.0050505,187.883563,435.4781354,0.141298949,-0.69,-2.35,145,30.81963026,-119.2076,45.7589,223,11.5,239,80,1,-3,22.8,31.6,109,289,176,2795,2377,76,118,483,0.57,0.45,38,17,121,938.0565
7.1.19,46,T,4,T4,NM'T1,1.232439159,2.555809479,,,0.031600777,0.223234359,,2.07378146,80.8780592,0.624501992,100.2184874,22.22186682,56.65470335,0.056558397,-1.62,-3.15,125,10.01702777,-107.2257,35.9802,2122,8.4,274,170,-3.8,-11.6,20.9,30.1,150,268,119,2171,1602,110,422,1576,2.86,3.32,28,93,60,1561.848
7.1.19,52,T,2,T2,CAT2,3.109424882,8.792366837,,,0.087341808,0.21725207,0.744,2.827650505,100.6661872,0.620075868,145.8571429,111.002995,1304.619845,0.086160828,-0.99,-2.15,114,151.416819,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125,1314.8804
7.1.19,53,T,4,T4,NM'T2,4.055422909,8.767590332,,,0.137390768,0.202131551,0.756,2.1619423,63.8149890,0.662364481,92.09375,14.1498009,25.38030295,0.0186727,-1.24,-2.2,102,13.59219793,-107.1478,35.7572,1979,9.9,265,170,-2.3,-9.8,22.2,31.2,140,277,136,2516,1943,98,290,1270,2.86,3.32,28,93,54,1142.3759
7.1.19,57,W,4,W4,OR'W1,1.398580418,2.665331266,,,0.036889038,0.051333105,0.798,1.905740443,72.2526645,0.615086102,96.61111111,83.43963153,47.68748049,0.08021992,-1.32,-2.6,93,5.944593357,-118.2594,43.7853,1196,7.6,289,109,-4.3,-9.8,20.2,30.7,158,253,93,1951,1260,113,472,1423,0.63,0.63,43,27,133,1282.5481
